date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:26:14	116431/116431	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202022%2006:26:02%20GMT	https://bio.link/u/	C:/Users/FAMILY/Desktop/bio/bio.link/u/index.html	(from https://bio.link/tungtungop)
01:26:15	116431/116431	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202022%2006:26:03%20GMT	https://bio.link/user/	C:/Users/FAMILY/Desktop/bio/bio.link/user/index.html	(from https://bio.link/tungtungop)
01:26:33	123940/123940	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202022%2006:26:21%20GMT	https://bio.link/form/	C:/Users/FAMILY/Desktop/bio/bio.link/form/index.html	(from https://bio.link/tungtungop)
01:26:53	126414/126414	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202022%2006:26:40%20GMT	https://bio.link/GET	C:/Users/FAMILY/Desktop/bio/bio.link/GET.html	(from https://bio.link/tungtungop)
01:26:53	97497/97497	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:15:56%20GMT	https://bio.link/	C:/Users/FAMILY/Desktop/bio/bio.link/index.html	(from https://bio.link/tungtungop)
01:26:54	14121/14121	---M--	200	added ('OK')	image/png	etag:%22d3d8023cefcd4ce20a2be4e7c755d72e%22	https://cdn.bio.link/uploads/profile_pictures/2021-09-25/5XRdVlssg15fDtZEduCQkWHsl6FovfXg.png	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/uploads/profile_pictures/2021-09-25/5XRdVlssg15fDtZEduCQkWHsl6FovfXg.png	(from https://bio.link/form/)
01:26:54	62171/62171	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d11aac5ce224776b3bf4b7f3830b5715%22	https://cdn.bio.link/matomo.js	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/matomo.js	(from https://bio.link/form/)
01:26:54	126414/126414	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202022%2006:26:42%20GMT	https://bio.link/get	C:/Users/FAMILY/Desktop/bio/bio.link/get	(from https://bio.link/tungtungop)
01:26:55	116431/116431	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202022%2006:26:43%20GMT	https://bio.link/form/get	C:/Users/FAMILY/Desktop/bio/bio.link/form/get	(from https://bio.link/form/)
01:26:56	116431/116431	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202022%2006:26:44%20GMT	https://bio.link/form/post	C:/Users/FAMILY/Desktop/bio/bio.link/form/post	(from https://bio.link/form/)
01:26:56	116431/116431	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202022%2006:26:44%20GMT	https://bio.link/form/GET	C:/Users/FAMILY/Desktop/bio/bio.link/form/GET	(from https://bio.link/form/)
01:26:57	116431/116431	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Dec%202022%2006:26:45%20GMT	https://bio.link/post	C:/Users/FAMILY/Desktop/bio/bio.link/post	(from https://bio.link/tungtungop)
01:26:57	19370/19370	---M--	200	added ('OK')	image/png	etag:%222dcd000e7512726632451194601e137b%22	https://cdn.bio.link/uploads/profile_pictures/2021-07-26/tRu9S0IdaTZ1o2p16EA1BVgaL2DmmZtk.png	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/uploads/profile_pictures/2021-07-26/tRu9S0IdaTZ1o2p16EA1BVgaL2DmmZtk.png	(from https://bio.link/GET)
01:26:58	217086/217086	---M--	200	added ('OK')	image/jpeg	etag:%226bb081de8c9db16c0ac16dd11d8aff8e%22	https://cdn.bio.link/og-image-min.jpg	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/og-image-min.jpg	(from https://bio.link/)
01:26:58	15406/15406	---M-Z	200	added ('OK')	image/x-icon	etag:%2260c8c51e-3c2e%22	https://bio.link/favicon.ico	C:/Users/FAMILY/Desktop/bio/bio.link/favicon.ico	(from https://bio.link/)
01:26:58	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2018%20Dec%202022%2006:26:46%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/FAMILY/Desktop/bio/www.googletagmanager.com/gtm.175445.delayed	(from https://bio.link/)
01:26:58	3005/3005	---MCZ	200	added ('OK')	application/javascript	etag:W/%22636cb5cd-bbd%22	https://bio.link/_nuxt/84168d6.js	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/84168d6.js	(from https://bio.link/)
01:26:58	190191/190191	---MCZ	200	added ('OK')	application/javascript	etag:W/%22636cb5cd-2e6f2%22	https://bio.link/_nuxt/047831c.js	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/047831c.js	(from https://bio.link/)
01:26:59	23075/23075	---MCZ	200	added ('OK')	application/javascript	etag:W/%22636cb5cd-5a26%22	https://bio.link/_nuxt/bc346eb.js	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/bc346eb.js	(from https://bio.link/)
01:26:59	127579/127579	---MCZ	200	added ('OK')	application/javascript	etag:W/%22636cb5cd-1f25b%22	https://bio.link/_nuxt/7a4bf06.js	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/7a4bf06.js	(from https://bio.link/)
01:26:59	44580/44580	---MCZ	200	added ('OK')	application/javascript	etag:W/%22636cb5cd-ae24%22	https://bio.link/_nuxt/d8cce6f.js	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/d8cce6f.js	(from https://bio.link/)
01:26:59	26161/26161	---MCZ	200	added ('OK')	application/javascript	etag:W/%22636cb5cd-6631%22	https://bio.link/_nuxt/d075618.js	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/d075618.js	(from https://bio.link/)
01:27:00	294396/294396	---M-Z	200	added ('OK')	application/octet-stream	etag:%22636cb5cd-47dfc%22	https://bio.link/_nuxt/fonts/Inter-Black.54c4088.ttf	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/fonts/Inter-Black.54c4088.ttf	(from https://bio.link/)
01:27:00	294072/294072	---M-Z	200	added ('OK')	application/octet-stream	etag:%22636cb5cd-47cb8%22	https://bio.link/_nuxt/fonts/Inter-ExtraBold.55189dd.ttf	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/fonts/Inter-ExtraBold.55189dd.ttf	(from https://bio.link/)
01:27:00	293448/293448	---M-Z	200	added ('OK')	application/octet-stream	etag:%22636cb5cd-47a48%22	https://bio.link/_nuxt/fonts/Inter-Bold.3e3cb90.ttf	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/fonts/Inter-Bold.3e3cb90.ttf	(from https://bio.link/)
01:27:00	287928/287928	---M-Z	200	added ('OK')	application/octet-stream	etag:%22633e8fe4-464b8%22	https://bio.link/_nuxt/fonts/Inter-Regular.9cd7588.ttf	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/fonts/Inter-Regular.9cd7588.ttf	(from https://bio.link/)
01:27:00	288088/288088	---M-Z	200	added ('OK')	application/octet-stream	etag:%22636cb5cd-46558%22	https://bio.link/_nuxt/fonts/Inter-Light.e7dd139.ttf	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/fonts/Inter-Light.e7dd139.ttf	(from https://bio.link/)
01:27:01	288400/288400	---M-Z	200	added ('OK')	application/octet-stream	etag:%22636cb5cd-46690%22	https://bio.link/_nuxt/fonts/Inter-ExtraLight.19c859e.ttf	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/fonts/Inter-ExtraLight.19c859e.ttf	(from https://bio.link/)
01:27:01	288568/288568	---M-Z	200	added ('OK')	application/octet-stream	etag:%22636cb5cd-46738%22	https://bio.link/_nuxt/fonts/Inter-Thin.dbd1349.ttf	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/fonts/Inter-Thin.dbd1349.ttf	(from https://bio.link/)
01:27:01	15210/15210	---M--	200	added ('OK')	image/png	etag:%2218ea0120e4052d55acf50b3c2e9cf392%22	https://cdn.bio.link/biolink/dashboard/backgrounds/hb-web-latest.png	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/biolink/dashboard/backgrounds/hb-web-latest.png	(from https://bio.link/)
01:27:02	628828/628828	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2020:06:56%20GMT	https://bio.link/features	C:/Users/FAMILY/Desktop/bio/bio.link/features.html	(from https://bio.link/)
01:27:02	90473/90473	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2022:18:01%20GMT	https://bio.link/faq	C:/Users/FAMILY/Desktop/bio/bio.link/faq.html	(from https://bio.link/)
01:27:02	52741/52741	---M--	200	added ('OK')	image/jpeg	etag:%22f34c79df794bc31a93f2a57dc2a8cf76%22	https://cdn.bio.link/landing/claim.jpg	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/landing/claim.jpg	(from https://bio.link/)
01:27:02	37089/37089	---M--	200	added ('OK')	image/jpeg	etag:%22e55fce195920e87ec4aee323bd40ccc8%22	https://cdn.bio.link/landing/all_links.jpg	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/landing/all_links.jpg	(from https://bio.link/)
01:27:02	26659/26659	---M--	200	added ('OK')	image/jpeg	etag:%22b82ee558cb06e26aba11d065715d052a%22	https://cdn.bio.link/landing/use_it_everywhere.jpg	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/landing/use_it_everywhere.jpg	(from https://bio.link/)
01:27:02	162145/162145	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2019:44:33%20GMT	https://bio.link/austinarcher	C:/Users/FAMILY/Desktop/bio/bio.link/austinarcher.html	(from https://bio.link/)
01:27:04	132183/132183	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202022%2006:26:52%20GMT	https://bio.link/acmilan	C:/Users/FAMILY/Desktop/bio/bio.link/acmilan.html	(from https://bio.link/)
01:27:04	49518/49518	---M--	200	added ('OK')	image/jpeg	etag:%22465c35185fb1f3379045400af9e1f6a7%22	https://cdn.bio.link/landing/user_2.jpg	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/landing/user_2.jpg	(from https://bio.link/)
01:27:04	140648/140648	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202022%2002:00:30%20GMT	https://bio.link/jo_franco	C:/Users/FAMILY/Desktop/bio/bio.link/jo_franco.html	(from https://bio.link/)
01:27:05	21562/21562	---M--	200	added ('OK')	image/jpeg	etag:%229c58088e9347ab0867681215a09cf016%22	https://cdn.bio.link/landing/user-3_1.jpeg	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/landing/user-3_1.jpg	(from https://bio.link/)
01:27:05	159520/159520	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2019:05:06%20GMT	https://bio.link/padrepauloricardo	C:/Users/FAMILY/Desktop/bio/bio.link/padrepauloricardo.html	(from https://bio.link/)
01:27:05	107010/107010	---M--	200	added ('OK')	image/png	etag:%226df74c4fb54b057816cfb21393f84160%22	https://cdn.bio.link/landing/user-4.png	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/landing/user-4.png	(from https://bio.link/)
01:27:05	131908/131908	---M--	200	added ('OK')	image/png	etag:%22cca96dc12393420936bfa0e28ae8c904%22	https://cdn.bio.link/landing/user_5_new.png	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/landing/user_5_new.png	(from https://bio.link/)
01:27:06	4080/4080	---M--	200	added ('OK')	image/png	etag:%2265d8a50b5e73cb44d7bfdefa5cd7d23c%22	https://cdn.bio.link/landing/google-play.png	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/landing/google-play.png	(from https://bio.link/)
01:27:06	4368/4368	---M--	200	added ('OK')	image/png	etag:%228ec67b96f77f61d2735c958fc5161faa%22	https://cdn.bio.link/landing/app-store.png	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/landing/app-store.png	(from https://bio.link/)
01:27:06	132467/132467	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2019:48:16%20GMT	https://bio.link/biodotlink	C:/Users/FAMILY/Desktop/bio/bio.link/biodotlink.html	(from https://bio.link/)
01:27:06	35811/35811	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Dec%202022%2006:26:54%20GMT	https://bio.link/cdn-cgi/challenge-platform/h/g/scripts/cb/invisible.js?cb=77b5d40f8cb30510	C:/Users/FAMILY/Desktop/bio/bio.link/cdn-cgi/challenge-platform/h/g/scripts/cb/invisible8a8e.js	(from https://bio.link/)
01:27:07	121927/121927	---MCZ	200	added ('OK')	application/javascript	etag:W/%22636cb5cd-1dc47%22	https://bio.link/_nuxt/22b1b83.js	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/22b1b83.js	(from https://bio.link/features)
01:27:07	90941/90941	---MCZ	200	added ('OK')	application/javascript	etag:W/%22636cb5cd-1633d%22	https://bio.link/_nuxt/a5ba096.js	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/a5ba096.js	(from https://bio.link/features)
01:27:07	286782/286782	---MCZ	200	added ('OK')	application/javascript	etag:W/%22636cb5cd-4603e%22	https://bio.link/_nuxt/45cabfe.js	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/45cabfe.js	(from https://bio.link/features)
01:27:07	170749/170749	---MCZ	200	added ('OK')	application/javascript	etag:W/%22636cb5cd-29afd%22	https://bio.link/_nuxt/680df5e.js	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/680df5e.js	(from https://bio.link/features)
01:27:08	2098/2098	---M--	200	added ('OK')	image/png	etag:%223119d6956ef8a4806e6625782b1415de%22	https://cdn.bio.link/landing/google-play-dark.png	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/landing/google-play-dark.png	(from https://bio.link/features)
01:27:08	2032/2032	---M--	200	added ('OK')	image/png	etag:%22593e1a424d4d612ea5707620c3764144%22	https://cdn.bio.link/landing/apple-store-dark.png	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/landing/apple-store-dark.png	(from https://bio.link/features)
01:27:09	28471/28471	---M-Z	200	added ('OK')	application/javascript	etag:%22636cb5cd-6f37%22	https://bio.link/_nuxt/383b427.js	C:/Users/FAMILY/Desktop/bio/bio.link/_nuxt/383b427.js	(from https://bio.link/faq)
01:27:09	4711/4711	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202022%2006:26:56%20GMT	https://bio.link/cdn-cgi/l/email-protection	C:/Users/FAMILY/Desktop/bio/bio.link/cdn-cgi/l/email-protection.html	(from https://bio.link/faq)
01:27:09	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226399bfb7-4d7%22	https://bio.link/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/FAMILY/Desktop/bio/bio.link/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://bio.link/faq)
01:27:10	94391/94391	---M--	200	added ('OK')	image/png	etag:%22a16afdae16ac62237af846ab00afb930%22	https://cdn.bio.link/uploads/profile_pictures/2021-07-21/cojLFWYybcSyrR2iz51P1wRhs57pt1xc.png	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/uploads/profile_pictures/2021-07-21/cojLFWYybcSyrR2iz51P1wRhs57pt1xc.png	(from https://bio.link/acmilan)
01:27:10	113701/113701	---M--	200	added ('OK')	image/png	etag:%22e1735b1e9e2afd32eda52f1e7903244d%22	https://cdn.bio.link/uploads/profile_pictures/2022-02-01/MJydDIQSUWpqup5PrK9qGPYNFE0qReRX.png	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/uploads/profile_pictures/2022-02-01/MJydDIQSUWpqup5PrK9qGPYNFE0qReRX.png	(from https://bio.link/jo_franco)
01:27:11	107010/107010	---M--	200	added ('OK')	image/png	etag:%226df74c4fb54b057816cfb21393f84160%22	https://cdn.bio.link/uploads/profile_pictures/2022-04-06/8bPZqTbPpi3h4GgaEcbbey5MrXcZGSBx.png	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/uploads/profile_pictures/2022-04-06/8bPZqTbPpi3h4GgaEcbbey5MrXcZGSBx.png	(from https://bio.link/padrepauloricardo)
01:27:12	58795/58795	---M--	200	added ('OK')	image/png	etag:%22f2850ba81f34b3e242159d3e0de52fa9%22	https://cdn.bio.link/uploads/profile_pictures/2022-02-16/71zJ05CpqRBKWmQ2mzqv1TlmQQWMgmad.png	C:/Users/FAMILY/Desktop/bio/cdn.bio.link/uploads/profile_pictures/2022-02-16/71zJ05CpqRBKWmQ2mzqv1TlmQQWMgmad.png	(from https://bio.link/biodotlink)
01:27:12	21614/21614	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262022b55-546e%22	https://bio.link/js/snowfall.js	C:/Users/FAMILY/Desktop/bio/bio.link/js/snowfall.js	(from https://bio.link/biodotlink)
